subject,organ,accept,dice,iou,tp,fp,fn,pred_vox,gt_vox,status,num_voxels,volume_mm3,is_empty,centroid_x_rel,centroid_y_rel,centroid_z_rel,bbox_x_rel,bbox_y_rel,bbox_z_rel,bbox_volume_mm3,mask_to_bbox_ratio,num_components,largest_component_fraction,touches_boundary,boundary_fraction,mean_HU,median_HU,std_HU,p05_HU,p95_HU,orig_axcodes
s1238,femur_right,1,0.9942,0.9885,60548,228,477,60776,61025,ok,60776,205119.0,0,0.7609,0.3872,0.0838,0.2102,0.1898,0.1532,820260.0,0.2501,1,1.0,1,0.0073,355.36,269.0,279.58,81.0,1041.25,RAS
s1238,gallbladder,0,0.8934,0.8073,6325,1335,175,7660,6500,ok,7660,25852.5,0,0.7603,0.5883,0.61,0.1153,0.1186,0.046,84341.25,0.3065,1,1.0,0,0.0,30.92,31.0,20.61,-3.0,65.0,RAS
s1238,gluteus_maximus_left,1,0.9709,0.9434,94477,4202,1464,98679,95941,ok,98679,333041.62,0,0.2893,0.2582,0.1404,0.3051,0.1085,0.2845,1263600.0,0.2636,1,1.0,1,0.0038,2.76,6.0,23.74,-42.0,36.0,RAS
s1238,gluteus_maximus_right,1,0.9785,0.9578,116347,3551,1573,119898,117920,ok,119898,404655.75,0,0.7363,0.2722,0.1248,0.3051,0.1593,0.267,1741702.5,0.2323,1,1.0,1,0.0052,-1.07,1.0,21.59,-41.0,30.0,RAS
s1238,gluteus_medius_left,1,0.9769,0.9548,67372,1209,1978,68581,69350,ok,68581,231460.88,0,0.2408,0.3533,0.2402,0.2441,0.2034,0.1816,1210140.0,0.1913,1,1.0,0,0.0,21.84,27.0,25.32,-30.0,50.0,RAS
s1238,gluteus_medius_right,1,0.9772,0.9553,66549,2238,873,68787,67422,ok,68787,232156.12,0,0.7936,0.3793,0.2193,0.2203,0.2136,0.2101,1326780.0,0.175,1,1.0,0,0.0,22.42,27.0,25.3,-28.0,50.0,RAS
s1238,gluteus_minimus_left,1,0.9715,0.9446,16997,345,651,17342,17648,ok,17342,58529.25,0,0.2447,0.4072,0.2113,0.1186,0.1695,0.1204,324843.75,0.1802,1,1.0,0,0.0,29.21,31.0,23.36,-9.0,61.0,RAS
s1238,gluteus_minimus_right,1,0.9737,0.9487,20273,400,697,20673,20970,ok,20673,69771.38,0,0.7725,0.4285,0.1984,0.1051,0.1627,0.1335,306342.0,0.2278,1,1.0,0,0.0,30.07,33.0,21.72,-8.0,59.0,RAS
s1238,heart,1,0.9538,0.9118,165959,5965,10096,171924,176055,ok,171924,580243.5,0,0.464,0.5271,0.7838,0.3424,0.3119,0.151,2163874.5,0.2682,6,1.0,0,0.0,89.46,92.0,25.46,41.0,125.0,RAS
s1238,hip_left,1,0.9921,0.9842,115132,594,1251,115726,116383,ok,115726,390575.25,0,0.3501,0.3764,0.1998,0.2881,0.3322,0.3304,4245176.0,0.092,1,1.0,0,0.0,332.33,272.0,202.47,109.0,754.0,RAS
s1238,hip_right,1,0.993,0.9861,115079,696,923,115775,116002,ok,115775,390740.62,0,0.6721,0.3975,0.1866,0.3356,0.3322,0.3173,4747916.0,0.0823,1,1.0,0,0.0,343.44,278.0,217.4,109.0,805.0,RAS
s1238,humerus_left,1,0.979,0.9588,36611,1437,137,38048,36748,ok,38048,128412.0,0,0.1323,0.4301,0.9168,0.2034,0.3797,0.3698,3832920.0,0.0335,2,0.9753,0,0.0,318.53,221.0,267.64,70.0,932.0,RAS
s1238,humerus_right,1,0.9625,0.9277,27116,1842,272,28958,27388,ok,28958,97733.25,0,0.9511,0.4786,0.9336,0.1186,0.3085,0.3982,1956386.25,0.05,4,0.9428,1,0.0417,235.09,171.0,198.71,54.0,692.0,RAS
s1238,iliac_artery_left,1,0.9761,0.9534,5070,111,137,5181,5207,ok,5181,17485.88,0,0.4128,0.4752,0.2467,0.2271,0.0915,0.2363,659380.5,0.0265,1,1.0,0,0.0,88.1,93.0,25.62,41.0,118.0,RAS
s1238,iliac_artery_right,1,0.9691,0.94,5089,218,107,5307,5196,ok,5307,17911.12,0,0.6051,0.4887,0.2336,0.1763,0.1119,0.267,706563.0,0.0253,1,1.0,0,0.0,98.65,102.0,25.57,56.0,127.0,RAS
s1238,iliac_vena_left,1,0.9668,0.9358,7334,233,270,7567,7604,ok,7567,25538.62,0,0.4158,0.4605,0.2268,0.2305,0.122,0.2407,908820.0,0.0281,1,1.0,0,0.0,65.8,69.0,22.48,22.0,96.0,RAS
s1238,iliac_vena_right,1,0.9682,0.9383,6786,87,359,6873,7145,ok,6873,23196.38,0,0.6093,0.4662,0.2201,0.1153,0.1356,0.2451,514080.0,0.0451,1,1.0,0,0.0,73.39,77.0,21.64,29.0,101.0,RAS
s1238,iliopsoas_left,1,0.9747,0.9506,80154,1582,2581,81736,82735,ok,81736,275859.0,0,0.3426,0.4275,0.2549,0.278,0.2136,0.4705,3748578.75,0.0736,2,0.9999,0,0.0,43.41,43.0,46.36,-1.0,75.0,RAS
s1238,iliopsoas_right,1,0.9735,0.9485,77422,2697,1510,80119,78932,ok,80119,270401.62,0,0.6768,0.4441,0.2507,0.2,0.2441,0.4989,3268836.0,0.0827,2,1.0,0,0.0,44.85,48.0,25.66,-3.0,79.0,RAS
s1238,inferior_vena_cava,1,0.9567,0.9169,22936,859,1219,23795,24155,ok,23795,80308.12,0,0.5763,0.4405,0.5572,0.1017,0.0949,0.4158,538650.0,0.1491,2,0.8339,0,0.0,81.86,84.0,21.57,42.0,114.0,RAS
s1238,kidney_left,1,0.9934,0.9869,86927,464,693,87391,87620,ok,87391,294944.62,0,0.3717,0.3775,0.4705,0.1695,0.2,0.1991,906018.75,0.3255,1,1.0,0,0.0,54.11,56.0,18.49,18.0,79.0,RAS
s1238,kidney_right,1,0.9921,0.9843,91277,635,819,91912,92096,ok,91912,310203.0,0,0.7058,0.4116,0.4665,0.1864,0.1864,0.1838,857587.5,0.3617,1,1.0,0,0.0,61.84,64.0,17.5,28.0,85.0,RAS
s1238,liver,1,0.9899,0.9801,832898,8212,8738,841110,841636,ok,841110,2838746.25,0,0.7148,0.4643,0.6681,0.4847,0.4576,0.2954,8795841.0,0.3227,1,1.0,0,0.0,70.21,74.0,25.49,21.0,106.0,RAS
s1238,lung_lower_lobe_left,1,0.9729,0.9472,148335,4553,3710,152888,152045,ok,152888,515997.0,0,0.3986,0.3109,0.7835,0.278,0.3186,0.2626,3121740.0,0.1653,5,0.9918,0,0.0,-584.51,-650.0,193.45,-789.0,-148.0,RAS
